params,mean_test_score,std_test_score,rank_test_score,accuracy,error,precision_macro,recall_macro,f1_macro
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.5988007380073801,0.015125775881224771,20,0.5756013745704467,0.4243986254295533,0.42913854206278784,0.380982099750459,0.3886680753644981
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.615034187106577,0.010925912620602276,19,0.5859106529209622,0.4140893470790378,0.39304604632963513,0.3896350827052799,0.38793686674361927
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.6201893857173866,0.027034709912323204,17,0.5927835051546392,0.4072164948453608,0.4361179296743874,0.3812899057095824,0.38947700701758126
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.6297807683959193,0.02382321295508387,13,0.6254295532646048,0.3745704467353952,0.4371501652631754,0.41477992116289575,0.4203602653488012
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.6290400477534188,0.026568745043528307,14,0.6134020618556701,0.38659793814432986,0.4161938795559485,0.38063842349058746,0.38269528459156943
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.6393802908617321,0.01843244400481402,9,0.6357388316151202,0.36426116838487976,0.43493920236998723,0.4021269149408528,0.4079813624004912
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.6408481658345995,0.024531062207889788,7,0.6254295532646048,0.3745704467353952,0.4438820316193077,0.3934739319860319,0.39978327253658935
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.6467467983503365,0.02118532608117324,5,0.634020618556701,0.365979381443299,0.4411255430715459,0.40425077605880405,0.41135103867649353
"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.6452816366398958,0.03548315970389757,6,0.6408934707903781,0.35910652920962194,0.45856410256410257,0.3959657060535495,0.4013957193182797
"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.655602886911222,0.029958330030268328,2,0.6426116838487973,0.3573883161512027,0.4452459188334361,0.4060038158244255,0.41272882989839127
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6165047753418711,0.03876280352040914,18,0.5824742268041238,0.41752577319587625,0.40646749017015776,0.37559476836510924,0.37883007936167246
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.6334816583459952,0.032709089666729696,11,0.5945017182130584,0.4054982817869416,0.4108775683676759,0.40056219425415945,0.401603835978836
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.6209382461471673,0.028307517220810586,16,0.6048109965635738,0.39518900343642616,0.43575849348345097,0.3728494785233845,0.37533350652780245
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.6305296288257,0.030025891266582474,12,0.6134020618556701,0.38659793814432986,0.43798371769500555,0.40200451965789424,0.4094562231077381
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.6283074668981985,0.020453061691584173,15,0.6460481099656358,0.3539518900343642,0.46651038274011836,0.4051046346367502,0.41205052553936933
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.640842739309746,0.022645065065852153,8,0.6494845360824743,0.35051546391752575,0.47766404330211865,0.41917500247214234,0.4302736647384785
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.6393558714998915,0.03526426288803508,10,0.634020618556701,0.365979381443299,0.450122406075379,0.3922390726460842,0.39632337535082535
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.6482011070110701,0.032328519423588685,4,0.6408934707903781,0.35910652920962194,0.4523908726684024,0.4050796708463646,0.4126089046445953
"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.654099739526807,0.03435761903712922,3,0.6426116838487973,0.3573883161512027,0.44763135118623354,0.38783599322923834,0.38760382884024186
"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.662204254395485,0.0383858130339419,1,0.6460481099656358,0.3539518900343642,0.44993279569892475,0.3988884084638398,0.4031433421425107
