params,mean_test_score,std_test_score,rank_test_score,accuracy,error,precision,recall
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7455746689819839,0.016833322380575656,1,0.718213058419244,0.281786941580756,0.5210764375030175,0.4696852332635963
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6976367484263079,0.011976035459184273,28,0.6924398625429553,0.3075601374570447,0.3516265060240964,0.3904024163010158
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.7455746689819839,0.016833322380575656,1,0.718213058419244,0.281786941580756,0.5210764375030175,0.4696852332635963
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.696163446928587,0.01294292045017945,29,0.6890034364261168,0.31099656357388317,0.3498734939759036,0.38846396585922943
"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.7455746689819839,0.016833322380575656,1,0.718213058419244,0.281786941580756,0.5210764375030175,0.4696852332635963
"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6696006077707836,0.020791327568112198,33,0.6615120274914089,0.3384879725085911,0.32973256516945837,0.37379786019114025
"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.7455746689819839,0.016833322380575656,1,0.718213058419244,0.281786941580756,0.5210764375030175,0.4696852332635963
"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6976394616887346,0.011677402367191034,27,0.6941580756013745,0.30584192439862545,0.35269003943702737,0.3913566147742983
"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.7455746689819839,0.016833322380575656,1,0.718213058419244,0.281786941580756,0.5210764375030175,0.4696852332635963
"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.47861406555242025,0.0014682134647335543,40,0.436426116838488,0.563573883161512,0.109106529209622,0.25
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.7330285435207293,0.01608250685050512,17,0.7233676975945017,0.2766323024054983,0.5219264193091424,0.4848300135531569
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7057494030822661,0.019338905044114903,26,0.6958762886597938,0.3041237113402062,0.4951594176928346,0.4416499271929842
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.7330285435207293,0.01608250685050512,17,0.7233676975945017,0.2766323024054983,0.5219264193091424,0.4848300135531569
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7087014326025612,0.01882045324317584,23,0.6993127147766323,0.30068728522336774,0.5016952078908431,0.44358837763477055
"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.7330285435207293,0.01608250685050512,17,0.7233676975945017,0.2766323024054983,0.5219264193091424,0.4848300135531569
"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7064792706750597,0.016107695504856207,25,0.6993127147766323,0.30068728522336774,0.45279285800458435,0.4007059178240494
"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.7330285435207293,0.01608250685050512,17,0.7233676975945017,0.2766323024054983,0.5219264193091424,0.4848300135531569
"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7072254178424137,0.018923798521133482,24,0.6993127147766323,0.30068728522336774,0.5015435714533653,0.44358837763477055
"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.7330285435207293,0.01608250685050512,17,0.7233676975945017,0.2766323024054983,0.5219264193091424,0.4848300135531569
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.5715161710440634,0.02151298127012543,39,0.570446735395189,0.429553264604811,0.2910954227660039,0.32337560858327824
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.7374565878011721,0.013403284605383566,6,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6732689385717385,0.04447385904480155,31,0.6701030927835051,0.3298969072164949,0.46284545701283664,0.4458654146315927
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.7374565878011721,0.013403284605383566,6,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.6725309311916647,0.04519400161178072,32,0.6907216494845361,0.30927835051546393,0.4787141073657928,0.4573458498062034
"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.7374565878011721,0.013403284605383566,6,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.7367240069459517,0.02044315961515254,11,0.7147766323024055,0.2852233676975945,0.5012852348014516,0.4678369433074744
"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.7374565878011721,0.013403284605383566,6,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.6762155415671802,0.04580309598883867,30,0.6735395189003437,0.3264604810996563,0.46894877920057776,0.44777381157815754
"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.7374565878011721,0.013403284605383566,6,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.594364553939657,0.033255947869331164,37,0.584192439862543,0.415807560137457,0.2940433258837871,0.3307687684077658
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.7359805730410246,0.015175933345159633,12,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.626817885825917,0.033864610846225204,36,0.6185567010309279,0.38144329896907214,0.4341975697765412,0.4260528902737195
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.7359805730410246,0.015175933345159633,12,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.6364011287171695,0.04082930570348027,34,0.6305841924398625,0.3694158075601375,0.44090839926962877,0.43282244007236104
"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.7359805730410246,0.015175933345159633,12,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.715338072498372,0.026556852122679882,22,0.7096219931271478,0.2903780068728522,0.5046577185507897,0.46787208650753187
"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.7359805730410246,0.015175933345159633,12,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.6305052094638594,0.03386181119529576,35,0.6237113402061856,0.37628865979381443,0.4370302193587974,0.42897559268400975
"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.7359805730410246,0.015175933345159633,12,0.7164948453608248,0.28350515463917525,0.5111718085081371,0.47793516006879344
"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.594364553939657,0.033255947869331164,37,0.584192439862543,0.415807560137457,0.2940433258837871,0.3307687684077658
